symbol,composite_score,quality_score,growth_score,value_score,momentum_score,positioning_score,stability_score,score_date
EGO,53.13557089104687,51.70554928938874,51.3344879628422,50.089390262390495,62.226737086377646,50.70986958462059,52.747391160661515,2026-02-08
DXC,53.11008108922902,50.40265828549647,65.66370809943203,50.23491479251761,49.04217380079003,52.91796265408193,50.39906890305603,2026-02-08
AEON,53.109543459686016,83.22649458173285,50.6426141026416,50.46506084386518,51.14053489401713,42.54457247259752,40.63798386326182,2026-02-08
AUGO,53.07715558544461,50.54625416412577,49.81511097262488,49.91390468428282,66.44579871906387,50.368624357713465,51.37324061485686,2026-02-08
SII,53.07088161133608,52.223810426410466,51.13535752372778,49.71419132971667,60.89501656917287,50.33708636924532,54.119827449743376,2026-02-08
TFPM,53.042162499838106,54.96641313036199,52.30348699240347,49.37089996260222,55.43691562347851,52.73488649716662,53.440372793015825,2026-02-08
LITE,52.986091034437884,49.523442309398135,51.45020727850193,48.59354470341795,65.20150890192016,54.916225000714725,48.231618012674396,2026-02-08
GPCR,52.97939338496026,48.56070414904651,49.026805015057924,50.43587282491404,69.50152563805754,51.700323369363566,48.651129313322,2026-02-08
OR,52.972841657319094,54.38628878817371,51.13057301824707,50.11466155868243,56.43713211525506,52.38925013825049,53.3791443253058,2026-02-08
KGC,52.969965019484526,53.46941490712748,53.552105850631705,49.38782452837776,59.8979432827336,48.37275242022072,53.139749127815904,2026-02-08
HBM,52.96321095158819,51.17965322890331,50.96006839182981,50.527167654657866,62.41609958670797,51.39269166480002,51.303585182630144,2026-02-08
NTST,52.93847829221315,54.76226479809404,49.761925391912946,49.75535771720491,49.58523037327656,57.87191860553058,55.89417286725984,2026-02-08
PL,52.915739928450996,48.03154893198317,49.628929134186464,51.430856686239615,69.78691332616732,49.66373065639373,48.952460835735664,2026-02-08
BVC,52.90039014973512,46.631162236628306,47.29020579277637,49.11034912284793,88.27493347323446,40.6051577551513,45.49053251777234,2026-02-08
QXO,52.897036208347515,49.373834034758104,62.96407028210504,49.77287927075054,52.778627553826055,51.98940147587483,50.50340463277053,2026-02-08
BKD,52.89209587647517,48.52424790217475,50.21612598124523,51.58152881130796,60.36996004899082,53.548010174189955,53.112702340942285,2026-02-08
WT,52.87816242897344,51.211512257128845,50.9452695526062,50.064047218501415,55.30850123778589,56.453619034620736,53.28602527319754,2026-02-08
TRX,52.873006417834425,50.91564277055169,50.62178127668514,49.934291323217884,76.51066450145004,41.00149891227325,48.25415972282855,2026-02-08
RGLD,52.870745328702604,54.74720833910488,50.363643327454625,49.942414277501165,58.52417501246332,50.17575673852289,53.471274277168725,2026-02-08
OPLN,52.870133989920475,50.6816388976875,58.09060130196869,49.52453417477003,51.10138812421391,53.835973497146995,53.986667943735746,2026-02-08
CELC,52.84318742921523,48.78211640264659,49.521781341524466,49.98377771365469,66.20107581819946,52.894519395419906,49.67585390384627,2026-02-08
IOTR,52.83804854200887,48.772011016726694,47.608719283241136,49.935380036354246,54.47335784073826,77.98358822960981,38.25523484538307,2026-02-08
KRYS,52.809935213930046,52.44715600962513,52.69452801429859,49.8275753705904,55.378651562284716,54.567205789334494,51.94449453744693,2026-02-08
ALSN,52.80625794787272,54.11424880065419,51.22079173989065,50.75981523773895,53.14600513582764,53.82334204886271,53.77334472426221,2026-02-08
CRVS,52.79779917749773,47.94484213768863,49.01867906192946,50.17693619180551,73.19608725049925,47.1642514544981,49.28599896856544,2026-02-08
LXP,52.783295641217336,51.14331974841085,50.066163826718494,56.36848779897652,50.03485525116999,53.93872857127601,55.14821865075217,2026-02-08
GOLD,52.78199409698108,49.76719339737647,51.178924125603,49.01835543712427,63.12530500899837,52.326305939047494,51.27588067373689,2026-02-08
POWL,52.76119768138788,51.727980824659305,51.66503653741464,50.64310012755158,55.081650142715176,56.12840969704727,51.32100875893927,2026-02-08
FEBO,52.75460506464124,48.01538058437822,42.35435579731198,50.008065812281956,53.60185410920987,78.08001420626618,44.46795987839924,2026-02-08
SVM,52.748951229845126,51.221258230148905,50.69050852460148,49.54116637428685,64.84578001586,48.01504470589949,52.17994952827405,2026-02-08
BVN,52.72967495483705,51.3338538526497,52.87946412774777,50.116905620066674,60.54086949723059,48.58781797570968,52.9191386556179,2026-02-08
VTYX,52.722096495994776,47.82968500461712,49.08508119885981,50.06394200898981,71.45486395817827,49.6358456913549,48.26316111396874,2026-02-08
TIGO,52.70863002060473,51.77079735357165,52.79751138683007,50.8061747312506,54.67750494078999,52.52344775095191,53.67634396023414,2026-02-08
GLTO,52.691375445776146,48.46767180667991,50.30043362092105,50.01420793071746,71.31591335618728,51.51446049270437,44.53556546744682,2026-02-08
